elevation,system:index,name
24,638,node638
59,639,node639
15,640,node640
5,641,node641
19,642,node642
13,643,node643
35,644,node644
48,645,node645
7,646,node646
34,647,node647
44,648,node648
5,649,node649
17,650,node650
65,651,node651
11,652,node652
45,653,node653
49,654,node654
8,655,node655
59,656,node656
9,657,node657
120,658,node658
11,659,node659
33,660,node660
15,661,node661
40,662,node662
8,663,node663
76,664,node664
40,665,node665
24,666,node666
21,667,node667
6,668,node668
12,669,node669
15,670,node670
81,671,node671
8,672,node672
168,673,node673
32,674,node674
6,675,node675
13,676,node676
12,677,node677
47,678,node678
42,679,node679
6,680,node680
2,681,node681
8,682,node682
11,683,node683
-6,684,node684
22,685,node685
9,686,node686
18,687,node687
24,688,node688
16,689,node689
6,690,node690
30,691,node691
5,692,node692
8,693,node693
13,694,node694
17,695,node695
6,696,node696
13,697,node697
31,698,node698
34,699,node699
9,700,node700
41,701,node701
23,702,node702
19,703,node703
25,704,node704
20,705,node705
15,706,node706
17,707,node707
141,708,node708
45,709,node709
13,710,node710
7,711,node711
119,712,node712
52,713,node713
23,714,node714
25,715,node715
27,716,node716
11,717,node717
7,718,node718
8,719,node719
45,720,node720
4,721,node721
13,722,node722
11,723,node723
29,724,node724
16,725,node725
210,726,node726
21,727,node727
83,728,node728
7,729,node729
8,730,node730
13,731,node731
91,732,node732
11,733,node733
10,734,node734
16,735,node735
29,736,node736
53,737,node737
81,738,node738
64,739,node739
21,740,node740
8,741,node741
4,742,node742
42,743,node743
23,744,node744
18,745,node745
27,746,node746
11,747,node747
11,748,node748
15,749,node749
45,750,node750
108,751,node751
7,752,node752
59,753,node753
45,754,node754
32,755,node755
9,756,node756
12,757,node757
9,758,node758
35,759,node759
12,760,node760
12,761,node761
28,762,node762
76,763,node763
16,764,node764
22,765,node765
20,766,node766
55,767,node767
35,768,node768
17,769,node769
13,770,node770
30,771,node771
7,772,node772
34,773,node773
26,774,node774
26,775,node775
8,776,node776
8,777,node777
10,778,node778
9,779,node779
9,780,node780
21,781,node781
6,782,node782
10,783,node783
13,784,node784
37,785,node785
10,786,node786
10,787,node787
30,788,node788
12,789,node789
47,790,node790
82,791,node791
12,792,node792
16,793,node793
13,794,node794
17,795,node795
15,796,node796
15,797,node797
11,798,node798
17,799,node799
49,800,node800
38,801,node801
11,802,node802
15,803,node803
19,804,node804
8,805,node805
13,806,node806
10,807,node807
98,808,node808
53,809,node809
7,810,node810
24,811,node811
29,812,node812
13,813,node813
38,814,node814
19,815,node815
16,816,node816
9,817,node817
35,818,node818
103,819,node819
36,820,node820
18,821,node821
39,822,node822
35,823,node823
50,824,node824
10,825,node825
12,826,node826
9,827,node827
34,828,node828
13,829,node829
8,830,node830
49,831,node831
9,832,node832
111,833,node833
2,834,node834
28,835,node835
11,836,node836
20,837,node837
37,838,node838
28,839,node839
72,840,node840
16,841,node841
38,842,node842
33,843,node843
3,844,node844
10,845,node845
5,846,node846
30,847,node847
11,848,node848
14,849,node849
81,850,node850
10,851,node851
31,852,node852
6,853,node853
6,854,node854
63,855,node855
13,856,node856
70,857,node857
9,858,node858
16,859,node859
8,860,node860
71,861,node861
10,862,node862
7,863,node863
47,864,node864
73,865,node865
11,866,node866
34,867,node867
7,868,node868
47,869,node869
35,870,node870
8,871,node871
24,872,node872
122,873,node873
12,874,node874
6,875,node875
44,876,node876
24,877,node877
11,878,node878
76,879,node879
14,880,node880
11,881,node881
27,882,node882
105,883,node883
32,884,node884
22,885,node885
9,886,node886
6,887,node887
11,888,node888
10,889,node889
5,890,node890
64,891,node891
8,892,node892
11,893,node893
13,894,node894
15,895,node895
50,896,node896
16,897,node897
17,898,node898
9,899,node899
5,900,node900
61,901,node901
99,902,node902
52,903,node903
53,904,node904
10,905,node905
36,906,node906
9,907,node907
15,908,node908
81,909,node909
2,910,node910
33,911,node911
12,912,node912
35,913,node913
4,914,node914
40,915,node915
14,916,node916
33,917,node917
6,918,node918
7,919,node919
30,920,node920
8,921,node921
33,922,node922
7,923,node923
5,924,node924
13,925,node925
24,926,node926
111,927,node927
47,928,node928
44,929,node929
46,930,node930
51,931,node931
50,932,node932
46,933,node933
50,934,node934
50,935,node935
18,936,node936
28,937,node937
21,938,node938
14,939,node939
44,940,node940
17,941,node941
13,942,node942
50,943,node943
36,944,node944
18,945,node945
8,946,node946
16,947,node947
7,948,node948
11,949,node949
69,950,node950
19,951,node951
19,952,node952
8,953,node953
38,954,node954
20,955,node955
72,956,node956
3,957,node957
39,958,node958
3,959,node959
22,960,node960
11,961,node961
53,962,node962
12,963,node963
9,964,node964
5,965,node965
55,966,node966
63,967,node967
45,968,node968
10,969,node969
8,970,node970
11,971,node971
89,972,node972
12,973,node973
24,974,node974
116,975,node975
22,976,node976
48,977,node977
36,978,node978
5,979,node979
25,980,node980
9,981,node981
16,982,node982
27,983,node983
10,984,node984
9,985,node985
10,986,node986
13,987,node987
36,988,node988
53,989,node989
26,990,node990
44,991,node991
10,992,node992
15,993,node993
45,994,node994
13,995,node995
13,996,node996
43,997,node997
28,998,node998
33,999,node999
16,1000,node1000
16,1001,node1001
15,1002,node1002
16,1003,node1003
15,1004,node1004
12,1005,node1005
10,1006,node1006
15,1007,node1007
4,1008,node1008
42,1009,node1009
79,1010,node1010
15,1011,node1011
40,1012,node1012
5,1013,node1013
16,1014,node1014
36,1015,node1015
22,1016,node1016
32,1017,node1017
-1,1018,node1018
49,1019,node1019
19,1020,node1020
28,1021,node1021
20,1022,node1022
28,1023,node1023
52,1024,node1024
19,1025,node1025
12,1026,node1026
11,1027,node1027
14,1028,node1028
21,1029,node1029
64,1030,node1030
28,1031,node1031
33,1032,node1032
20,1033,node1033
144,1034,node1034
9,1035,node1035
60,1036,node1036
15,1037,node1037
10,1038,node1038
