nilai_hujan_max,tempoh_hujan,tempoh_ulang,latitude,longitude
79,3,NORMAL,5.63494,100.5164
79,3,NORMAL,5.63687,100.507
109.5,3,"NORMA
L",5.6372,100.5098
109.5,3,"NORMA
L",5.6355,100.5056
79,3,NORMAL,5.63794,100.5147
79,3,NORMAL,5.857,100.4666
46,3,NORMAL,5.66833,100.9128
46,3,NORMAL,5.6631,100.9187
46,3,NORMAL,5.66055,100.9025
46,3,NORMAL,5.6291,100.8998
46,3,NORMAL,5.69181,100.764
46,3,NORMAL,5.64838,100.764
46,3,NORMAL,5.67596,100.9252
46,3,NORMAL,5.66012,100.9034
46,3,NORMAL,5.67928,100.8974
46,3,NORMAL,5.65109,100.8549
46,3,NORMAL,5.6481,100.8957
46,3,NORMAL,5.672,100.8918
52.5,3,NORMAL,5.8958,100.8959
41,3,NORMAL,5.8618,100.8897
41,3,NORMAL,5.7444,100.8983
41,3,NORMAL,5.7708,100.8911
41,3,NORMAL,5.7536,100.8965
41,3,NORMAL,5.7445,100.8981
41,3,NORMAL,5.6349,100.5164
109.5,3,"NORMA
L",5.6372,100.5098
109.5,3,"NORMA
L",5.6372,100.5098
74.5,3,NORMAL,5.86606,100.89278
74.5,3,NORMAL,5.74436,100.89823
74.5,3,NORMAL,5.77076,100.89114
74.5,3,NORMAL,5.75374,100.8963
74.5,3,NORMAL,5.84443,100.89598
74.5,3,NORMAL,5.84872,100.90346
74.5,3,NORMAL,6.2749,100.4479
8,3,NORMAL,6.2668,100.4416
8,3,NORMAL,6.4103,99.7607
12,1,NORMAL,4.8075,101.9708
73,1,7,5.9218,102.245
73,1,7,4.8365,101.949
12,1,NORMAL,4.8843,101.9677
12,1,NORMAL,4.8775,101.962
12,1,NORMAL,4.8316,101.9856
12,1,NORMAL,4.8365,102.0047
12,1,NORMAL,4.874,101.9607
12,1,NORMAL,4.8913,101.967
12,1,NORMAL,4.8075,101.9708
12,1,NORMAL,4.8327,101.9546
12,1,NORMAL,6.0329,102.0398
12,1,NORMAL,6.0409,102.0247
12,1,NORMAL,6.0309,102.057
12,1,NORMAL,6.0522,102.0245
12,1,NORMAL,6.0302,102.033
