date,negeri,code,daerah,kawasan_banjir,latitude,longitude,kedalaman_banjir_max,day,month,year,line_check,geometry
13/7/2020,Sarawak,SRW,MUAR,Kg. Pt. Yaakup,2.0668,102.5933,0.2,13,7,2020,1,POINT (102.5933 2.0668)
13/7/2020,Sarawak,SRW,MUAR,Kg. Pt. Samad,2.1119,102.6344,0.2,13,7,2020,1,POINT (102.6344 2.1119)
13/7/2020,Sarawak,SRW,MUAR,Kg. Pt. Karim Hulu,1.6037,103.3588,0.2,13,7,2020,1,POINT (103.3588 1.6037)
13/7/2020,Sarawak,SRW,MUAR,Kg. Pt. Hj. Zain,2.0567,102.6649,0.2,13,7,2020,1,POINT (102.6649 2.0567)
13/7/2020,Sarawak,SRW,MUAR,Kg. Paya Lebar,2.0066,102.6731,0.2,13,7,2020,1,POINT (102.6731 2.0066)
13/7/2020,Sarawak,SRW,MUAR,Kg. Pt.Salman,1.9636,102.7125,0.2,13,7,2020,1,POINT (102.7125 1.9636)
13/7/2020,Sarawak,SRW,MUAR,Kg. Pt. Shafiee,1.9782,102.7194,0.2,13,7,2020,1,POINT (102.7194 1.9782)
13/7/2020,Sarawak,SRW,TANGKAK,Kg Gelugor,2.1695,102.5481,0.3,13,7,2020,1,POINT (102.5481 2.1695)
13/7/2020,Sarawak,SRW,TANGKAK,Kg Tg Agas,2.0554,102.5609,0.3,13,7,2020,1,POINT (102.5609 2.0554)
13/7/2020,Sarawak,SRW,TANGKAK,Parit Idrus,2.2202,102.4988,0.3,13,7,2020,1,POINT (102.4988 2.2202)
13/7/2020,Sarawak,SRW,TANGKAK,Parit Bunga,2.0746,102.5523,0.3,13,7,2020,1,POINT (102.5523 2.0746)
13/7/2020,Sarawak,SRW,TANGKAK,Kg Tanjung Gading Darat,2.0989,102.5362,0.3,13,7,2020,1,POINT (102.5362 2.0989)
13/7/2020,Sarawak,SRW,TANGKAK,Kg Pengkalan Besar,2.2237,102.4975,0.3,13,7,2020,1,POINT (102.4975 2.2237)
13/7/2020,Sarawak,SRW,BATU PAHAT,Kampung Sungai Punggor,1.7062,103.1017,0.2,13,7,2020,1,POINT (103.1017 1.7062)
13/7/2020,Sarawak,SRW,BATU PAHAT,Kampung Sungai Punggur Kecil,1.7153,103.1072,0.2,13,7,2020,1,POINT (103.1072 1.7153)
13/7/2020,Sarawak,SRW,BATU PAHAT,Kampung Parit Mengkudu,1.6973,103.111,0.2,13,7,2020,1,POINT (103.111 1.6973)
13/7/2020,Sarawak,SRW,PONTIAN,Kg. Penghulu Bakar,1.3811,103.4387,0.3,13,7,2020,1,POINT (103.4387 1.3811)
13/7/2020,Sarawak,SRW,PONTIAN,Jln. Makam,1.3788,103.4381,0.3,13,7,2020,1,POINT (103.4381 1.3788)
13/7/2020,Sarawak,SRW,PONTIAN,Kg. Sg. Buntu,1.3554,103.4386,0.3,13,7,2020,1,POINT (103.4386 1.3554)
13/7/2020,Sarawak,SRW,PONTIAN,"Kg.Bugis, Bt. 6",1.3884,103.4359,0.3,13,7,2020,1,POINT (103.4359 1.3884)
13/7/2020,Sarawak,SRW,PONTIAN,Kg. Pt. Jermen,1.4167,103.4471,0.3,13,7,2020,1,POINT (103.4471 1.4167)
13/7/2020,Sarawak,SRW,PONTIAN,Kg. Pt. Sulaiman,1.4324,103.4579,0.3,13,7,2020,1,POINT (103.4579 1.4324)
13/7/2020,Sarawak,SRW,PONTIAN,Kg. Sg. Durian,1.3219,103.4603,0.3,13,7,2020,1,POINT (103.4603 1.3219)
13/7/2020,Sarawak,SRW,PONTIAN,Kg. Permas,1.3461,103.4569,0.3,13,7,2020,1,POINT (103.4569 1.3461)
13/7/2020,Sarawak,SRW,PONTIAN,Kg. Serkat,1.3022,103.4901,0.3,13,7,2020,1,POINT (103.4901 1.3022)
13/7/2020,Sarawak,SRW,PONTIAN,Kg. Penerok,1.3798,103.4528,0.3,13,7,2020,1,POINT (103.4528 1.3798)
13/7/2020,Sarawak,SRW,PONTIAN,Pt. Selangor,1.6617,103.304,0.3,13,7,2020,1,POINT (103.304 1.6617)
13/7/2020,Sarawak,SRW,PONTIAN,Kg. Melayu Bukit Panjang,1.5378,103.4739,0.3,13,7,2020,1,POINT (103.4739 1.5378)
13/7/2020,Sarawak,SRW,PONTIAN,Pt. Panjang,1.5985,103.3358,0.3,13,7,2020,1,POINT (103.3358 1.5985)
1/10/2020,Sarawak,SRW,JOHOR BAHRU,1) Kg. Mohd Amin,1.4625,103.7372,0.8,1,10,2020,1,POINT (103.7372 1.4625)
1/10/2020,Sarawak,SRW,JOHOR BAHRU,1) Jalan Kolam Ayer,1.4685,103.7366,0.8,1,10,2020,1,POINT (103.7366 1.4685)
2/11/2020,Sarawak,SRW,JOHOR BAHRU,"Kg. Laut Batu 10, Skudai",1.5439,103.6601,1,2,11,2020,1,POINT (103.6601 1.5439)
16/11/2020,Sarawak,SRW,PONTIAN,Pekan Kukup,1.3254,103.442,0.3,16,11,2020,1,POINT (103.442 1.3254)
16/11/2020,Sarawak,SRW,JOHOR BAHRU,"Kampung Muafakat, Gelang Patah",1.4442,103.5937,0.2,16,11,2020,1,POINT (103.5937 1.4442)
16/11/2020,Sarawak,SRW,TANGKAK,"Kampung Kolam, Serom",2.1307,102.6393,0.3,16,11,2020,1,POINT (102.6393 2.1307)
17/11/2020,Sarawak,SRW,KOTA TINGGI,Kampung Tembioh,1.7252,103.9049,0.5,17,11,2020,1,POINT (103.9049 1.7252)
17/11/2020,Sarawak,SRW,KOTA TINGGI,Kampung Makam,1.7311,103.9058,0.5,17,11,2020,1,POINT (103.9058 1.7311)
17/11/2020,Sarawak,SRW,BATU PAHAT,"Benteng Kiri, Peserai",1.8483,102.9225,0.5,17,11,2020,1,POINT (102.9225 1.8483)
17/11/2020,Sarawak,SRW,BATU PAHAT,"Taman Sri Banang, Minyak Beku",1.8181,102.9003,0.3,17,11,2020,1,POINT (102.9003 1.8181)
17/11/2020,Sarawak,SRW,BATU PAHAT,Taman Nira,1.8606,102.9267,0.3,17,11,2020,1,POINT (102.9267 1.8606)
17/11/2020,Sarawak,SRW,BATU PAHAT,"Jalan Pantai, Bandar Batu Pahat",1.8489,102.9172,0.3,17,11,2020,1,POINT (102.9172 1.8489)
17/11/2020,Sarawak,SRW,PONTIAN,Kg. Pt. Pasir,1.5113,103.5042,0.3,17,11,2020,1,POINT (103.5042 1.5113)
22/4/2020,Kedah,KED,KULIM,"i) Tmn. Makmur fasa 2
ii) Jln.Bkt Lada Sg. Seluang
iii) Kg. Bt. 6, Lunas",5.4452,100.548,0.5,22,4,2020,1,POINT (100.548 5.4452)
22/4/2020,Kedah,KED,KULIM,"Tmn. Kulim Utama, Hi-Tech",5.3945,100.589,0.3,22,4,2020,1,POINT (100.589 5.3945)
23/4/2020,Kedah,KED,KUALA MUDA,"Kg Batu 2 (Belakang Sek. Jenis Kebangsaan
Cina Min Terk)",5.6309,100.5181,0.5,23,4,2020,1,POINT (100.5181 5.6309)
23/4/2020,Kedah,KED,KUALA MUDA,"i) Jalan Utama Taman Sejati - Pusat Bandar -Lencongan Barat.
ii) Kg Dakwah, Sg Pasir",5.6151,100.4731,0.3,23,4,2020,1,POINT (100.4731 5.6151)
23/4/2020,Kedah,KED,KUALA MUDA,Taman Keranji,5.6271,100.5009,0.3,23,4,2020,1,POINT (100.5009 5.6271)
23/4/2020,Kedah,KED,KUALA MUDA,Kg Kilang Makau,5.5862,100.4846,0.3,23,4,2020,1,POINT (100.4846 5.5862)
26/4/2020,Kedah,KED,BANDAR BAHARU,i) Kg Charok Meranti,5.3177,100.704,0.3,26,4,2020,1,POINT (100.704 5.3177)
26/4/2020,Kedah,KED,KULIM,"i) Kg Gunung Bongsu
ii) Jalan Batu 10, Terap",5.3318,100.6882,0.2,26,4,2020,1,POINT (100.6882 5.3318)
