latitude,longitude,region,state,postcode,geometry,flood_risk,distance,kawasan_banjir,latitude_kb,longitude_kb,kedalaman_banjir,month_kb,altitude,slope,min_distance_river
6.188917553,100.4387048,Alor Setar,Kedah,5516,POINT (11180785.474271921 690290.8063929832),False,1280.362503586612,"Taman Sireh, bukit pinang",6.1955,100.4293,0.3,7.0,22,1.3152894973754885,123.04411832813778
6.21201988,100.2407541,Alor Setar,Kedah,5516,POINT (11158749.70314575 692877.6786834208),True,501.28244572749486,Kuala Jerlun,6.2159,100.243,0.5,11.0,0,0.0,139.84107367743738
6.089138924,100.4462125,Alor Setar,Kedah,5516,POINT (11181621.227612952 679119.4346477836),False,2519.376784528597,Kg Titi Hj Idris,6.0763,100.4648,0.5,10.0,6,0.0,61.4165294108813
6.200268322,100.4957585,Alor Setar,Kedah,5517,POINT (11187136.663103793 691561.7892968393),False,3626.309885148637,"Kampung
Lubuk Batu,
Mukim
Pelubang",6.2151,100.4668,0.3,10.0,15,4.145509243011475,2918.5784516175972
6.207064931,100.2314698,Alor Setar,Kedah,5517,POINT (11157716.179597378 692322.8410307772),False,1620.5633101464955,Kuala Jerlun,6.2159,100.243,0.5,11.0,0,0.0,1294.689873815004
6.268204679,100.4846087,Alor Setar,Kedah,5517,POINT (11185895.473045347 699169.4200244909),False,3527.671094098617,Kg Sampang,6.2994,100.489,0.4,12.0,143,26.241485595703125,1677.7855581932145
5.97972258,100.3715071,Alor Setar,Kedah,5517,POINT (11173305.060525443 666871.3934545652),False,8576.691205189349,"Jalan KP
Ceria7, Kg
Kubur
Panjang,
Mukim
Rambai.",6.0449,100.331,0.8,10.0,3,2.628680467605591,565.1643807293617
5.998412767,100.4760367,Alor Setar,Kedah,5517,POINT (11184941.242370266 668963.3940757912),True,740.4595666461264,Kg Seberang Pendang,5.9931,100.48,1.2,11.0,4,2.628725528717041,248.77951290698846
6.181915891,100.4199587,Alor Setar,Kedah,5517,POINT (11178698.667965561 689506.8209100754),False,1842.5229598536423,"Taman Sireh, bukit pinang",6.1955,100.4293,0.3,7.0,11,3.839441299438477,1986.8368228049749
6.254278914,100.3060155,Alor Setar,Kedah,5517,POINT (11166014.568962207 697609.908400656),False,4460.014198363641,2) Kampung Belukar,6.2523,100.266,0.3,11.0,3,1.3153716325759888,2066.8147990620464
6.13084206,100.2104377,Alor Setar,Kedah,5517,POINT (11155374.896935064 683788.3287360306),False,7361.757533913771,"Kg. Suka
Menanti",6.1665,100.266,0.2,11.0,0,0.0,8341.620810094102
