nilai_hujan_max,tempoh_hujan,tempoh_ulang,kedalaman_banjir,distance
10,2,2,0.3,5742.334863
73,3,4,0.45,11511.08722
111,2,34,0.6,9363.172688
111,2,34,0.6,9112.884984
74.5,3,2,1,8161.214989
98,2,17,0.3,5517.695109
111,2,34,0.6,3032.311158
69,1,9,0.5,4000.29592
111,2,34,0.6,12604.34616
43,4,2,0.5,4413.705575
84.5,3,3,0.5,7731.241122
73,3,4,0.45,12000.96735
111,2,34,0.6,9125.381263
98,2,17,0.3,8884.181107
69,1,9,0.35,602.3445888
73,3,4,0.45,12216.96185
111,2,34,0.6,4178.92366
83,2,5,0.3,8136.820769
46,3,2,0.35,1943.536486
52,3,2,0.3,5597.966928
43,4,2,0.5,1267.395792
111,2,34,0.6,3194.629375
111,2,34,0.6,11134.70646
84.5,3,3,0.5,7721.805016
52,3,2,0.3,6128.528446
84.5,3,3,0.5,5380.335274
76,2,5,1,815.7520894
111,2,34,0.6,3236.312874
73,3,4,0.45,7119.448941
111,2,34,0.6,9586.835464
98,2,17,0.3,8839.707977
73,3,4,0.45,10199.89413
91,3,6,0.4,5211.699542
35,3,2,0.5,19223.039
111,2,34,0.6,6352.112161
111,2,34,0.6,11714.0711
111,2,34,0.6,7919.875934
73,3,4,0.45,9642.876442
73,3,4,0.45,4811.056356
98,2,17,0.3,8072.93409
73,3,4,0.45,12640.87615
46,3,2,0.35,1933.61324
39.5,1,2,0.1,8248.613483
39.5,1,2,0.1,2986.788109
98,2,17,0.3,7677.897445
73,3,4,0.45,12172.04356
111,2,34,0.6,9595.903796
10,2,2,0.3,7894.192296
18,1,2,0.2,6575.722728
69,1,9,0.35,4725.081568
83,2,5,0.3,5222.624009
83,2,5,0.3,9318.67208
73,3,4,0.45,8554.252019
58.5,3,2,0.3,9102.40755
111,2,34,0.6,12742.39662
73,3,4,0.45,11157.18178
91,3,6,0.4,4498.879791
83,2,5,0.3,5420.233505
73,3,4,0.45,14010.61068
74.5,3,2,1,7146.925017
91,3,6,0.25,5784.426142
83,2,5,0.3,1274.463741
111,2,34,0.6,8370.159568
84.5,3,3,0.5,13771.49776
111,2,34,0.6,8332.468427
98,2,17,0.3,5487.402583
